,home_overall_rating,away_overall_rating,home_team_wins,home_team_draws,home_team_defeats,home_team_goals_diff,away_team_wins,away_team_draws,away_team_defeats,away_team_goals_diff,home_team_wins_against_eachother,home_team_goals_diff_agains_eachother,draws_against_eachother,away_team_wins_against_eachother,away_team_goals_diff_agains_eachother,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,0.0,0.0,3,2,0,3,4,0,1,10,0,-4,0,1,4,38.980000000000004,30.35,15.45,0,0,1
0,0.0,0.0,2,2,1,2,2,0,3,-4,0,-1,0,1,1,20.88,28.9,24.5,0,0,1
0,0.0,0.0,1,1,3,-1,4,0,1,4,0,-1,0,1,1,26.7,29.0,19.6,0,1,0
0,0.0,0.0,1,0,4,-3,2,1,2,2,0,-2,0,1,2,22.45,28.6,22.8,0,0,1
0,0.0,0.0,1,2,2,0,0,1,4,-7,1,1,0,0,-1,14.19,31.550000000000004,46.8,0,0,1
0,0.0,0.0,2,1,2,1,2,2,1,-1,1,2,0,0,-2,15.910000000000002,29.65,37.129999999999995,0,1,0
0,0.0,0.0,4,0,1,5,2,0,3,-2,0,0,1,0,0,10.609999999999998,51.6,101.0,1,0,0
0,0.0,0.0,1,0,4,-8,2,1,2,-4,1,3,0,0,-3,11.17,45.6,88.5,1,0,0
0,0.0,0.0,4,0,1,8,1,1,3,-2,0,-1,0,1,1,17.810000000000002,29.15,30.25,1,0,0
0,0.0,0.0,1,1,3,-2,2,0,3,-4,0,0,1,0,0,39.06,30.4,15.49,0,0,1
0,0.0,0.0,3,1,1,1,5,0,0,9,0,-2,0,1,2,42.18,31.15,14.909999999999998,0,0,1
0,0.0,0.0,4,0,1,10,0,2,3,-4,1,1,0,0,-1,10.639999999999999,50.75,108.0,1,0,0
0,0.0,0.0,3,0,2,-1,1,2,2,0,1,2,0,0,-2,14.89,30.599999999999998,42.53,0,0,1
0,0.0,0.0,3,1,1,2,1,0,4,-5,0,-1,0,1,1,14.200000000000001,31.5,47.55,0,1,0
0,0.0,0.0,1,1,3,-2,1,2,2,-1,0,0,1,0,0,17.56,28.900000000000002,31.799999999999997,1,0,0
0,0.0,0.0,2,1,2,-2,1,3,1,-2,0,0,1,0,0,20.929999999999996,28.799999999999997,24.740000000000002,0,0,1
0,0.0,0.0,2,1,2,1,1,2,2,1,0,-2,0,1,2,14.370000000000001,31.3,46.05,1,0,0
0,0.0,0.0,1,0,4,-6,4,0,1,6,0,-3,0,1,3,28.55,29.15,18.55,0,1,0
0,0.0,0.0,1,1,3,-4,4,0,1,7,0,-2,0,1,2,40.39,30.799999999999997,15.149999999999999,0,0,1
0,0.0,0.0,3,0,2,1,2,0,3,-3,1,1,0,0,-1,16.49,29.65,34.75,0,0,1
0,0.0,0.0,4,1,0,7,2,2,1,1,0,-1,0,1,1,18.95,29.349999999999998,27.650000000000002,0,1,0
0,0.0,0.0,1,3,1,1,3,1,1,5,1,1,0,0,-1,24.45,29.15,20.87,0,1,0
0,0.0,0.0,2,2,1,2,1,0,4,-4,0,-2,0,1,2,14.08,31.5,49.25,1,0,0
0,0.0,0.0,1,1,3,-2,1,1,3,-3,1,1,0,0,-1,15.04,30.65,41.879999999999995,1,0,0
