,home_team_api_id,away_team_api_id,date,home_overall_rating,away_overall_rating,bet_statistics_home,bet_statistics_draw,bet_statistics_away,Home_Win,Draw,Away_Win
0,9810,8177,2008-08-17 00:00:00,775.0,806.0,20.200000000000003,29.049999999999997,26.179999999999996,0,0,1
0,7955,9956,2008-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0,1,0
0,1957,2182,2008-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,10243,9931,2008-08-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,9987,9993,2008-08-17 00:00:00,0.0,0.0,15.89,29.9,37.480000000000004,0,1,0
0,9938,9925,2008-08-17 00:00:00,701.0,891.0,49.25,33.65,13.690000000000001,0,1,0
0,8689,9748,2008-08-17 00:00:00,740.0,881.0,40.63,28.599999999999998,15.89,0,1,0
0,8592,8583,2008-08-17 00:00:00,842.0,771.0,13.940000000000001,30.500000000000004,54.95,1,0,0
0,9991,9998,2008-08-17 00:00:00,0.0,0.0,12.95,34.25,58.8,1,0,0
0,9855,9851,2008-08-17 00:00:00,719.0,767.0,24.290000000000003,26.24,23.1,1,0,0
0,9904,8398,2008-08-22 00:00:00,770.0,731.0,14.48,32.1,47.1,0,1,0
0,7844,10238,2008-08-22 00:00:00,587.0,595.0,17.49,28.55,32.4,0,1,0
0,10265,8569,2008-08-22 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,1601,8031,2008-08-22 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,9873,8689,2008-08-23 00:00:00,775.0,751.0,19.53,26.119999999999994,30.6,1,0,0
0,9790,8295,2008-08-23 00:00:00,844.0,689.0,12.889999999999999,35.68,62.5,1,0,0
0,9789,9823,2008-08-23 00:00:00,776.0,883.0,29.999999999999996,29.2,18.509999999999998,0,1,0
0,10269,8178,2008-08-23 00:00:00,861.0,818.0,17.13,29.950000000000003,33.25,0,0,1
0,8697,10189,2008-08-23 00:00:00,847.0,840.0,17.6,29.6,32.0,0,1,0
0,8177,9912,2008-08-23 00:00:00,800.0,775.0,14.59,31.4,46.6,0,1,0
0,8650,8549,2008-08-23 00:00:00,885.0,802.0,12.450000000000001,39.129999999999995,75.2,1,0,0
0,8226,9788,2008-08-23 00:00:00,707.0,617.0,17.73,29.450000000000003,31.6,1,0,0
0,8586,8472,2008-08-23 00:00:00,876.0,788.0,13.399999999999999,35.25,62.0,0,0,1
0,8655,8667,2008-08-23 00:00:00,854.0,748.0,14.25,32.75,54.3,0,1,0
0,9879,9825,2008-08-23 00:00:00,811.0,883.0,54.5,32.85,14.200000000000001,1,0,0
0,8028,8322,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,2182,8020,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8244,2183,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0,0,1
0,8025,8242,2008-08-23 00:00:00,0.0,0.0,0.0,0.0,0.0,1,0,0
0,8659,8668,2008-08-23 00:00:00,784.0,842.0,24.979999999999997,29.05,22.37,0,0,1
0,8481,9941,2008-08-23 00:00:00,775.0,714.0,16.5,27.650000000000002,39.66,0,1,0
0,8066,10251,2008-08-23 00:00:00,628.0,733.0,21.779999999999998,28.849999999999998,23.450000000000003,0,1,0
0,8485,8548,2008-08-23 00:00:00,733.0,807.0,43.25,30.8,15.059999999999999,0,1,0
0,8597,8429,2008-08-23 00:00:00,724.0,628.0,17.64,29.4,30.900000000000002,1,0,0
0,9860,9800,2008-08-23 00:00:00,733.0,626.0,14.579999999999998,31.5,43.85,1,0,0
0,9927,9938,2008-08-23 00:00:00,722.0,697.0,20.99,29.0,24.380000000000003,0,1,0
